Date;Time;G-Force;Voltage;Temperature
15-05-2020;09:15:47;1,005412;4,194947;28,67614
15-05-2020;09:15:48;0,956813;4,194947;28,67614
15-05-2020;09:15:49;0,9953712;4,194947;28,66541
15-05-2020;09:15:49;1,003487;4,194947;28,66541
15-05-2020;09:15:50;1,02583;4,189929;28,68687
15-05-2020;09:15:50;1,048735;4,194947;28,67614
15-05-2020;09:15:51;1,024959;4,194947;28,67614
15-05-2020;09:15:51;1,095077;4,194947;28,66541
15-05-2020;09:15:52;1,014802;4,194947;28,67614
15-05-2020;09:15:52;0,9938385;4,194947;28,68687
15-05-2020;09:15:53;0,9800263;4,194947;28,67614
15-05-2020;09:15:53;0,9998367;4,194947;28,68687
15-05-2020;09:15:54;1,000772;4,194947;28,68687
15-05-2020;09:15:54;1,000646;4,194947;28,67614
15-05-2020;09:15:55;1,004053;4,194947;28,69759
15-05-2020;09:15:55;1,006174;4,194947;28,67614
15-05-2020;09:15:56;1,009022;4,194947;28,68687
15-05-2020;09:15:57;0,9877513;4,194947;28,70831
15-05-2020;09:15:57;1,006622;4,194947;28,68687
15-05-2020;09:16:39;1,064012;4,194947;28,77267
15-05-2020;09:16:40;0,9992165;4,194947;28,77267
15-05-2020;09:16:41;1,130934;4,194947;28,7834
15-05-2020;09:16:41;1,061442;4,194947;28,77267
15-05-2020;09:16:42;1,00925;4,194947;28,77267
15-05-2020;09:16:42;0,9048631;4,194947;28,76194
15-05-2020;09:16:43;0,9507874;4,194947;28,77267
15-05-2020;09:16:43;1,005328;4,194947;28,77267
15-05-2020;09:16:44;0,9849179;4,194947;28,76194
15-05-2020;09:16:44;1,076707;4,194947;28,80484
15-05-2020;09:16:45;0,8564695;4,194947;28,77267
15-05-2020;09:16:45;0,8127466;4,194947;28,7834
15-05-2020;09:16:46;1,129744;4,194947;28,79412
15-05-2020;09:16:47;0,9541118;4,194947;28,77267
15-05-2020;09:16:47;1,024818;4,194947;28,79412
15-05-2020;09:16:48;1,0289;4,194947;28,77267
15-05-2020;09:16:48;0,9814781;4,194947;28,76194
15-05-2020;09:16:49;1,024234;4,194947;28,77267
15-05-2020;09:16:49;1,016366;4,194947;28,77267
15-05-2020;09:16:50;0,9736814;4,194947;28,77267
15-05-2020;09:16:50;0,8910568;4,194947;28,7834
15-05-2020;09:16:51;1,033364;4,194947;28,79412
15-05-2020;09:16:51;1,044351;4,194947;28,7834
15-05-2020;09:16:52;1,019441;4,194947;28,77267
15-05-2020;09:16:52;1,008934;4,194947;28,79412
15-05-2020;09:16:53;1,047402;4,194947;28,7834
15-05-2020;09:16:54;1,024998;4,194947;28,77267
15-05-2020;09:16:54;1,010967;4,189929;28,79412
15-05-2020;09:16:55;1,046412;4,194947;28,77267
15-05-2020;09:16:55;1,024673;4,194947;28,77267
15-05-2020;09:16:56;1,046221;4,194947;28,7834
15-05-2020;09:16:56;0,984037;4,194947;28,79412
15-05-2020;09:16:57;0,987522;4,194947;28,79412
15-05-2020;09:16:57;1,039193;4,194947;28,76194
15-05-2020;09:16:58;0,9970395;4,194947;28,77267
15-05-2020;09:16:58;1,021215;4,194947;28,7834
15-05-2020;09:16:59;0,9961016;4,194947;28,7834
15-05-2020;09:16:59;1,033719;4,194947;28,80484
15-05-2020;09:17:00;1,026384;4,194947;28,79412
15-05-2020;09:17:01;1,02248;4,194947;28,79412
15-05-2020;09:17:01;1,016404;4,194947;28,79412
15-05-2020;09:17:02;1,021575;4,194947;28,7834
15-05-2020;09:17:02;1,015475;4,194947;28,81557
15-05-2020;09:17:03;1,019713;4,194947;28,79412
