NameOfPig;CageId;Time;Date;Answer
3;103;11:04:26;28-05-2020;RIGHT
3;103;11:07:55;28-05-2020;RIGHT
3;103;11:09:44;28-05-2020;RIGHT
3;103;11:10:24;28-05-2020;WRONG
3;103;11:11:15;28-05-2020;RIGHT
3;103;14:03:31;28-05-2020;RIGHT
3;103;14:17:57;28-05-2020;RIGHT
3;103;14:18:18;28-05-2020;WRONG
3;103;14:20:12;28-05-2020;WRONG
3;103;14:34:41;28-05-2020;RIGHT
3;103;14:35:45;28-05-2020;RIGHT
3;103;14:42:49;28-05-2020;RIGHT
3;103;14:47:56;28-05-2020;RIGHT
3;103;14:50:23;28-05-2020;RIGHT
3;103;14:51:29;28-05-2020;RIGHT
3;103;17:06:39;28-05-2020;RIGHT
3;103;17:07:10;28-05-2020;WRONG
3;103;17:12:08;28-05-2020;WRONG
3;103;17:17:30;28-05-2020;RIGHT
3;103;17:20:31;28-05-2020;RIGHT
3;103;17:24:14;28-05-2020;RIGHT
3;103;17:25:27;28-05-2020;RIGHT
3;103;17:31:25;28-05-2020;RIGHT
3;103;08:22:23;29-05-2020;RIGHT
3;103;08:22:58;29-05-2020;RIGHT
3;103;08:23:57;29-05-2020;RIGHT
3;103;08:27:02;29-05-2020;RIGHT
3;103;08:27:53;29-05-2020;RIGHT
3;103;11:08:12;29-05-2020;RIGHT
3;103;17:08:02;29-05-2020;RIGHT
3;103;17:10:28;29-05-2020;RIGHT
3;103;11:05:50;30-05-2020;RIGHT
3;103;11:07:08;30-05-2020;RIGHT
3;103;17:03:18;30-05-2020;RIGHT
3;103;17:07:06;30-05-2020;RIGHT
3;103;11:01:35;31-05-2020;RIGHT
3;103;11:02:50;31-05-2020;RIGHT
3;103;11:07:45;31-05-2020;RIGHT
3;103;11:16:10;01-06-2020;RIGHT
3;103;11:18:49;01-06-2020;RIGHT
3;103;17:16:59;01-06-2020;RIGHT
3;103;17:22:43;01-06-2020;RIGHT
3;103;17:23:44;01-06-2020;RIGHT
3;103;17:30:04;01-06-2020;RIGHT
3;103;10:57:52;02-06-2020;RIGHT
3;103;11:06:12;02-06-2020;RIGHT
3;103;14:28:23;02-06-2020;WRONG
3;103;14:39:04;02-06-2020;RIGHT
3;103;14:40:48;02-06-2020;RIGHT
3;103;14:58:53;02-06-2020;RIGHT
4;104;20:35:42;26-09-2019;RIGHT
4;104;23:47:10;28-09-2019;RIGHT
4;104;23:51:36;28-09-2019;RIGHT
4;104;23:52:19;28-09-2019;WRONG
4;104;23:03:29;30-09-2019;RIGHT
4;104;20:42:15;01-10-2019;WRONG
4;104;23:31:57;01-10-2019;RIGHT
4;104;23:32:04;01-10-2019;RIGHT
4;104;23:36:58;01-10-2019;RIGHT
4;104;23:38:18;01-10-2019;RIGHT
4;104;23:39:25;01-10-2019;WRONG
4;104;23:40:13;01-10-2019;RIGHT
4;104;23:50:59;01-10-2019;RIGHT
4;104;23:58:26;01-10-2019;WRONG
4;104;20:34:30;02-10-2019;RIGHT
4;104;20:34:59;02-10-2019;RIGHT
4;104;23:34:12;03-10-2019;RIGHT
4;104;23:10:40;01-11-2019;WRONG
4;104;23:13:23;01-11-2019;WRONG
4;104;23:16:07;01-11-2019;WRONG
4;104;23:25:34;01-11-2019;RIGHT
4;104;23:25:36;01-11-2019;WRONG
4;104;23:27:12;01-11-2019;WRONG
4;104;23:34:29;01-11-2019;WRONG
4;104;23:35:31;01-11-2019;RIGHT
4;104;23:39:30;01-11-2019;WRONG
4;104;23:49:05;01-11-2019;RIGHT
4;104;12:07:34;17-11-2019;RIGHT
4;104;12:07:49;17-11-2019;RIGHT
4;104;12:07:58;17-11-2019;RIGHT
4;104;23:15:06;18-11-2019;RIGHT
4;104;23:18:09;18-11-2019;RIGHT
4;104;23:20:37;18-11-2019;RIGHT
4;104;23:33:04;26-11-2019;RIGHT
4;104;23:40:20;26-11-2019;RIGHT
4;104;07:58:18;16-05-2020;RIGHT
4;104;08:00:31;16-05-2020;RIGHT
4;104;08:05:19;16-05-2020;RIGHT
4;104;08:05:33;16-05-2020;RIGHT
4;104;08:08:13;16-05-2020;RIGHT
4;104;11:13:52;16-05-2020;RIGHT
4;104;11:22:11;16-05-2020;RIGHT
4;104;11:26:22;16-05-2020;RIGHT
4;104;11:37:36;16-05-2020;RIGHT
4;104;14:19:59;22-05-2020;RIGHT
4;104;14:31:51;22-05-2020;RIGHT
4;104;14:49:57;22-05-2020;RIGHT
4;104;17:57:29;23-05-2020;WRONG
4;104;11:16:13;25-05-2020;RIGHT
4;104;17:54:02;26-05-2020;WRONG
4;104;17:56:39;26-05-2020;WRONG
4;104;14:04:48;28-05-2020;RIGHT
4;104;14:13:57;28-05-2020;RIGHT
4;104;14:15:43;28-05-2020;RIGHT
4;104;14:16:53;28-05-2020;RIGHT
4;104;14:24:00;28-05-2020;WRONG
4;104;14:24:22;28-05-2020;RIGHT
4;104;14:27:27;28-05-2020;RIGHT
4;104;14:29:55;28-05-2020;RIGHT
4;104;14:30:03;28-05-2020;RIGHT
4;104;14:30:19;28-05-2020;RIGHT
4;104;11:47:05;29-05-2020;WRONG
4;104;11:49:52;29-05-2020;RIGHT
4;104;11:59:43;29-05-2020;RIGHT
4;104;14:07:25;29-05-2020;RIGHT
4;104;14:11:52;29-05-2020;WRONG
4;104;14:36:59;29-05-2020;WRONG
4;104;14:07:03;30-05-2020;RIGHT
4;104;14:08:51;30-05-2020;RIGHT
4;104;14:11:40;30-05-2020;WRONG
4;104;14:20:49;30-05-2020;RIGHT
4;104;14:25:00;30-05-2020;RIGHT
4;104;14:34:57;30-05-2020;WRONG
4;104;14:36:37;30-05-2020;WRONG
4;104;17:57:18;30-05-2020;RIGHT
4;104;17:59:34;30-05-2020;RIGHT
4;104;11:56:21;31-05-2020;WRONG
4;104;17:43:48;31-05-2020;WRONG
4;104;17:49:21;31-05-2020;RIGHT
4;104;17:53:07;31-05-2020;RIGHT
4;104;14:27:09;02-06-2020;WRONG
4;104;14:29:45;02-06-2020;RIGHT
4;104;14:31:39;02-06-2020;RIGHT
5;105;12:09:53;16-11-2019;WRONG
5;105;12:12:08;16-11-2019;RIGHT
5;105;12:14:21;16-11-2019;RIGHT
5;105;12:10:27;17-11-2019;RIGHT
5;105;12:11:34;17-11-2019;WRONG
5;105;10:31:50;18-11-2019;RIGHT
5;105;10:39:56;18-11-2019;RIGHT
5;105;07:54:48;16-05-2020;RIGHT
5;105;08:02:21;16-05-2020;RIGHT
5;105;08:06:25;16-05-2020;RIGHT
5;105;11:08:34;16-05-2020;WRONG
5;105;11:53:07;16-05-2020;WRONG
5;105;14:47:16;22-05-2020;RIGHT
5;105;14:27:56;23-05-2020;WRONG
5;105;17:06:48;23-05-2020;RIGHT
5;105;17:56:08;23-05-2020;RIGHT
5;105;17:57:20;23-05-2020;WRONG
5;105;11:58:53;24-05-2020;WRONG
5;105;17:17:40;25-05-2020;WRONG
5;105;17:36:43;25-05-2020;RIGHT
5;105;17:39:58;25-05-2020;WRONG
5;105;11:05:25;26-05-2020;RIGHT
5;105;11:07:01;26-05-2020;RIGHT
5;105;17:59:42;27-05-2020;RIGHT
5;105;14:02:15;30-05-2020;RIGHT
5;105;14:05:17;30-05-2020;RIGHT
5;105;14:00:31;02-06-2020;WRONG
5;105;14:22:27;02-06-2020;RIGHT
5;105;14:33:50;02-06-2020;WRONG
5;105;14:51:46;02-06-2020;RIGHT
6;106;20:37:06;09-09-2019;WRONG
6;106;20:35:35;26-09-2019;WRONG
6;106;23:45:15;26-09-2019;RIGHT
6;106;23:57:50;26-09-2019;RIGHT
6;106;20:29:07;27-09-2019;RIGHT
6;106;23:54:00;27-09-2019;WRONG
6;106;20:36:26;29-09-2019;RIGHT
6;106;20:16:00;03-10-2019;RIGHT
6;106;20:18:16;03-10-2019;RIGHT
6;106;20:52:41;03-10-2019;WRONG
6;106;23:28:25;31-10-2019;RIGHT
6;106;20:40:29;02-11-2019;RIGHT
6;106;23:31:02;02-11-2019;RIGHT
6;106;20:05:29;03-11-2019;RIGHT
6;106;20:07:36;03-11-2019;WRONG
6;106;23:36:44;03-11-2019;RIGHT
6;106;12:05:55;13-11-2019;RIGHT
6;106;12:06:09;13-11-2019;RIGHT
6;106;12:06:16;13-11-2019;RIGHT
6;106;12:08:27;13-11-2019;RIGHT
6;106;12:08:56;15-11-2019;RIGHT
6;106;12:11:28;15-11-2019;RIGHT
6;106;12:07:08;16-11-2019;RIGHT
6;106;12:08:54;16-11-2019;RIGHT
6;106;12:10:45;16-11-2019;RIGHT
6;106;12:09:17;17-11-2019;RIGHT
6;106;12:11:30;17-11-2019;RIGHT
6;106;12:12:46;17-11-2019;RIGHT
6;106;10:32:23;18-11-2019;RIGHT
6;106;13:09:25;18-11-2019;WRONG
6;106;13:17:53;18-11-2019;WRONG
6;106;13:20:38;18-11-2019;WRONG
6;106;23:15:48;18-11-2019;RIGHT
6;106;23:19:21;18-11-2019;RIGHT
6;106;23:06:31;26-11-2019;RIGHT
6;106;07:53:57;16-05-2020;RIGHT
6;106;07:56:25;16-05-2020;RIGHT
6;106;07:58:58;16-05-2020;RIGHT
6;106;08:00:08;16-05-2020;RIGHT
6;106;08:38:11;16-05-2020;WRONG
6;106;14:03:23;16-05-2020;WRONG
6;106;09:21:19;17-05-2020;RIGHT
6;106;08:21:00;18-05-2020;RIGHT
6;106;11:18:23;23-05-2020;RIGHT
6;106;17:02:14;23-05-2020;RIGHT
6;106;17:02:39;23-05-2020;WRONG
6;106;17:09:25;23-05-2020;RIGHT
6;106;17:09:35;23-05-2020;RIGHT
6;106;17:11:44;23-05-2020;RIGHT
6;106;17:11:59;23-05-2020;RIGHT
6;106;17:40:26;23-05-2020;RIGHT
6;106;17:45:04;23-05-2020;RIGHT
6;106;17:45:35;23-05-2020;RIGHT
6;106;17:46:16;23-05-2020;WRONG
6;106;11:35:09;24-05-2020;RIGHT
6;106;14:16:54;24-05-2020;RIGHT
6;106;14:50:47;24-05-2020;RIGHT
6;106;11:01:09;25-05-2020;RIGHT
6;106;11:07:19;25-05-2020;RIGHT
6;106;11:09:06;25-05-2020;RIGHT
6;106;11:12:38;27-05-2020;RIGHT
6;106;08:22:54;29-05-2020;RIGHT
6;106;08:37:54;29-05-2020;RIGHT
6;106;08:38:26;29-05-2020;RIGHT
6;106;08:41:30;29-05-2020;RIGHT
6;106;11:49:23;29-05-2020;RIGHT
6;106;11:56:09;29-05-2020;RIGHT
6;106;11:57:26;29-05-2020;RIGHT
6;106;17:31:06;29-05-2020;RIGHT
6;106;11:06:57;30-05-2020;RIGHT
6;106;14:18:24;30-05-2020;WRONG
6;106;14:03:43;31-05-2020;RIGHT
6;106;14:38:17;31-05-2020;RIGHT
6;106;14:42:30;31-05-2020;RIGHT
6;106;17:12:17;01-06-2020;RIGHT
6;106;10:58:51;02-06-2020;RIGHT
6;106;11:00:57;02-06-2020;WRONG
6;106;11:12:13;02-06-2020;RIGHT
6;106;14:25:55;02-06-2020;WRONG
6;106;14:31:17;02-06-2020;RIGHT
6;106;14:32:09;02-06-2020;RIGHT
6;106;14:32:28;02-06-2020;RIGHT
6;106;14:45:14;02-06-2020;RIGHT
6;106;14:48:00;02-06-2020;WRONG
6;106;14:53:44;02-06-2020;WRONG
6;106;14:57:25;02-06-2020;RIGHT
6;106;17:12:05;02-06-2020;RIGHT
7;107;20:23:10;08-09-2019;RIGHT
7;107;20:23:58;08-09-2019;RIGHT
7;107;20:20:36;10-09-2019;RIGHT
7;107;20:44:52;11-09-2019;RIGHT
7;107;20:08:16;12-09-2019;RIGHT
7;107;23:50:19;12-09-2019;RIGHT
7;107;23:55:00;26-09-2019;RIGHT
7;107;23:58:27;26-09-2019;WRONG
7;107;20:55:37;27-09-2019;RIGHT
7;107;20:58:14;27-09-2019;WRONG
7;107;20:59:55;27-09-2019;WRONG
7;107;20:00:28;28-09-2019;RIGHT
7;107;20:41:49;01-10-2019;RIGHT
7;107;20:01:38;31-10-2019;RIGHT
7;107;21:00:12;01-11-2019;WRONG
7;107;20:33:25;04-11-2019;RIGHT
7;107;20:36:00;04-11-2019;RIGHT
7;107;23:23:51;05-11-2019;WRONG
7;107;12:05:36;13-11-2019;RIGHT
7;107;12:05:36;13-11-2019;RIGHT
7;107;12:11:48;16-11-2019;RIGHT
7;107;12:13:29;16-11-2019;RIGHT
7;107;12:13:51;16-11-2019;RIGHT
7;107;13:00:14;18-11-2019;RIGHT
7;107;13:18:25;18-11-2019;RIGHT
7;107;13:37:24;18-11-2019;WRONG
7;107;23:16:53;18-11-2019;RIGHT
7;107;23:58:36;27-11-2019;RIGHT
7;107;08:00:41;16-05-2020;WRONG
7;107;08:02:46;16-05-2020;RIGHT
7;107;08:02:54;16-05-2020;RIGHT
7;107;08:11:29;16-05-2020;WRONG
7;107;11:09:03;16-05-2020;WRONG
7;107;11:13:39;16-05-2020;RIGHT
7;107;11:46:22;16-05-2020;RIGHT
7;107;14:02:08;16-05-2020;RIGHT
7;107;14:02:34;16-05-2020;WRONG
7;107;14:07:16;16-05-2020;WRONG
7;107;14:33:44;22-05-2020;RIGHT
7;107;11:22:04;23-05-2020;RIGHT
7;107;17:46:17;23-05-2020;RIGHT
7;107;11:11:00;25-05-2020;RIGHT
7;107;14:07:25;25-05-2020;WRONG
7;107;14:08:15;25-05-2020;RIGHT
7;107;14:19:03;25-05-2020;WRONG
7;107;17:24:04;25-05-2020;WRONG
7;107;14:03:14;26-05-2020;WRONG
7;107;17:49:57;26-05-2020;WRONG
7;107;14:01:55;28-05-2020;WRONG
7;107;14:14:16;28-05-2020;RIGHT
7;107;17:01:59;28-05-2020;RIGHT
7;107;14:09:39;29-05-2020;WRONG
8;108;12:09:45;13-11-2019;RIGHT
8;108;12:09:52;13-11-2019;RIGHT
8;108;23:15:06;18-11-2019;RIGHT
8;108;23:19:26;18-11-2019;RIGHT
8;108;23:23:36;18-11-2019;WRONG
8;108;23:26:51;18-11-2019;RIGHT
8;108;23:35:13;18-11-2019;RIGHT
8;108;23:19:31;27-11-2019;RIGHT
8;108;23:22:53;27-11-2019;RIGHT
8;108;08:36:35;16-05-2020;WRONG
8;108;08:40:31;16-05-2020;RIGHT
8;108;08:44:59;16-05-2020;RIGHT
8;108;08:50:11;16-05-2020;RIGHT
8;108;11:12:19;16-05-2020;RIGHT
8;108;11:17:07;16-05-2020;RIGHT
8;108;11:41:42;16-05-2020;RIGHT
8;108;14:01:59;16-05-2020;WRONG
8;108;14:06:06;16-05-2020;RIGHT
8;108;14:07:15;16-05-2020;RIGHT
8;108;14:07:43;16-05-2020;RIGHT
8;108;14:32:29;16-05-2020;WRONG
8;108;09:21:29;17-05-2020;RIGHT
8;108;11:20:37;18-05-2020;WRONG
8;108;14:16:34;22-05-2020;RIGHT
8;108;15:04:45;22-05-2020;RIGHT
8;108;11:20:43;23-05-2020;WRONG
